Archive:  analysis/evidence/original-apk/GraalOnlineXCoreExecuter.apk
 Length   Method    Size  Cmpr    Date    Time   CRC-32   Name
--------  ------  ------- ---- ---------- ----- --------  ----
   34128  Stored    34128   0% 2026-05-06 22:33 b4b0fa15  AndroidManifest.xml
 8081012  Stored  8081012   0% 2026-05-06 22:33 58f7d255  classes.dex
 9444936  Defl:N  3465748  63% 2026-05-06 22:33 652b90c4  classes2.dex
 2120300  Defl:N   817934  61% 2026-05-06 22:33 f4a8cdc8  classes3.dex
     928  Defl:N      561  40% 2026-05-06 22:33 8e787046  kotlin/annotation/annotation.kotlin_builtins
    3685  Defl:N     1521  59% 2026-05-06 22:33 f41c30cf  kotlin/collections/collections.kotlin_builtins
     200  Defl:N      157  22% 2026-05-06 22:33 c69fe143  kotlin/coroutines/coroutines.kotlin_builtins
     646  Defl:N      394  39% 2026-05-06 22:33 d8d2330d  kotlin/internal/internal.kotlin_builtins
   18661  Defl:N     5257  72% 2026-05-06 22:33 b623e8f5  kotlin/kotlin.kotlin_builtins
    3399  Defl:N     1292  62% 2026-05-06 22:33 cb3b8aed  kotlin/ranges/ranges.kotlin_builtins
    2426  Defl:N     1286  47% 2026-05-06 22:33 7e3e3d18  kotlin/reflect/reflect.kotlin_builtins
 5339704  Defl:N  2078803  61% 2026-05-06 22:33 b6417f8c  lib/arm64-v8a/libbacktrace-native.so
    7112  Defl:N     2630  63% 2026-05-06 22:33 4f56ac38  lib/arm64-v8a/libdatastore_shared_counter.so
 4139608  Defl:N  1173420  72% 2026-05-06 22:33 b864cbd5  lib/arm64-v8a/libFirebaseCppApp-13_4_0.so
   67760  Defl:N    17779  74% 2026-05-06 22:33 e7c40731  lib/arm64-v8a/libFirebaseCppMessaging.so
44471456  Defl:N 13540421  70% 2026-05-06 22:33 aa2faa5f  lib/arm64-v8a/libil2cpp.so
    6696  Defl:N     2578  62% 2026-05-06 22:33 37aeef8d  lib/arm64-v8a/libmain.so
  424224  Defl:N   130539  69% 2026-05-06 22:33 adf23a2c  lib/arm64-v8a/libnative-lib.so
 9562368  Defl:N  2935780  69% 2026-05-06 22:33 75fa5c9c  lib/arm64-v8a/libqplayandroid.so
  301408  Defl:N   101464  66% 2026-05-06 23:52 fa261971  lib/arm64-v8a/libservice.so
21043552  Defl:N  9250320  56% 2026-05-06 22:33 a312da86  lib/arm64-v8a/libunity.so
  400504  Defl:N   125881  69% 2026-05-06 22:33 f4a4a811  lib/arm64-v8a/lib_burst_generated.so
      54  Defl:N       50   7% 2026-05-06 22:33 8f594b50  META-INF/services/kotlinx.coroutines.CoroutineExceptionHandler
      52  Defl:N       49   6% 2026-05-06 22:33 4b95597f  META-INF/services/kotlinx.coroutines.internal.MainDispatcherFactory
     712  Stored      712   0% 2026-05-06 22:33 64e7d2cb  res/color/common_google_signin_btn_text_dark.xml
     712  Stored      712   0% 2026-05-06 22:33 84bf4f9b  res/color/common_google_signin_btn_text_light.xml
     464  Stored      464   0% 2026-05-06 22:33 88cfb00e  res/color/common_google_signin_btn_tint.xml
     588  Stored      588   0% 2026-05-06 22:33 f50084bf  res/drawable/common_google_signin_btn_icon_dark.xml
     892  Stored      892   0% 2026-05-06 22:33 cf61db95  res/drawable/common_google_signin_btn_icon_dark_focused.xml
     548  Stored      548   0% 2026-05-06 22:33 c7f15d4f  res/drawable/common_google_signin_btn_icon_dark_normal.xml
    1132  Stored     1132   0% 2026-05-06 22:33 9f96c2e3  res/drawable/common_google_signin_btn_icon_disabled.xml
     588  Stored      588   0% 2026-05-06 22:33 7daf3a9e  res/drawable/common_google_signin_btn_icon_light.xml
